study_hours,attendance_pct,prev_score,sleep_hours,assignments_done,final_score
3.33,80.91,93.16,9.78,4,78.13
6.96,67.91,76.95,6.9,7,92.12
3.81,55.68,53.98,8.84,0,57.58
5.68,83.58,41.46,7.3,2,72.89
5.92,76.02,92.21,4.26,2,80.76
2.66,88.62,41.28,7.8,8,74.86
9.73,76.01,92.48,9.71,4,100.0
7.98,92.61,71.74,7.61,8,100.0
9.46,77.6,96.34,8.92,8,100.0
9.05,78.05,87.93,9.31,0,93.77
6.38,93.83,99.88,5.37,1,90.21
9.3,70.17,61.04,5.27,4,91.52
1.8,56.7,86.03,7.67,3,56.99
2.76,51.44,64.12,6.47,9,63.5
1.41,87.76,68.79,9.04,8,67.23
3.93,81.02,77.65,9.4,6,79.81
4.5,85.2,92.42,6.12,5,85.3
3.44,60.65,99.05,5.42,6,76.22
8.46,56.82,86.1,8.68,0,87.66
4.21,50.73,65.07,5.65,0,54.88
3.53,67.53,65.28,8.94,7,75.72
5.88,79.5,84.25,6.54,1,82.23
2.27,69.61,54.33,8.01,9,66.68
8.22,71.87,46.63,4.57,10,94.07
1.67,95.21,61.28,7.74,8,77.06
9.88,67.41,57.23,6.71,6,96.38
7.95,75.7,57.78,7.52,5,94.14
2.79,89.18,54.02,5.01,0,57.41
1.05,69.83,42.53,8.42,0,43.83
8.34,81.1,41.07,9.18,1,86.61
7.36,93.12,99.26,5.3,5,100.0
7.56,97.48,65.67,4.57,5,94.43
7.94,57.35,63.06,4.14,1,77.38
1.67,96.33,80.78,7.85,0,64.49
4.23,74.61,53.1,7.64,9,76.32
2.04,62.91,97.0,7.28,4,68.75
8.77,72.96,87.18,5.39,4,97.78
6.61,99.0,45.36,6.35,1,79.13
3.98,74.63,65.05,7.57,5,76.53
1.57,66.44,92.75,6.98,8,71.01
3.8,81.67,96.68,9.93,1,76.77
3.93,62.01,68.04,4.82,9,78.45
7.57,53.79,76.8,8.17,1,84.19
6.74,56.44,50.02,6.43,2,69.17
8.98,56.4,99.47,6.57,6,100.0
5.25,57.6,53.9,8.31,5,72.48
2.08,56.94,96.56,8.15,7,73.21
7.42,82.04,78.98,9.95,7,100.0
7.85,59.09,76.46,4.77,5,88.45
6.05,67.28,70.76,4.62,10,89.47
7.94,94.84,53.84,8.35,9,100.0
5.44,73.7,50.59,7.47,2,68.76
5.7,83.38,53.23,5.64,2,69.3
4.85,58.62,51.19,4.48,0,61.0
1.23,59.61,86.78,4.51,6,59.69
1.97,52.04,61.01,9.37,4,58.03
1.28,58.45,43.47,5.15,3,46.74
6.73,63.93,98.15,5.94,9,100.0
3.83,58.85,93.03,5.36,3,70.46
5.58,54.44,95.67,6.13,3,76.92
9.17,56.03,99.69,4.42,5,95.72
3.24,73.04,50.43,7.11,7,70.14
4.69,60.32,63.77,4.41,7,70.32
7.8,68.21,85.49,8.8,4,94.79
3.06,75.17,81.76,5.4,5,72.08
1.69,84.52,49.23,7.24,3,64.29
3.61,51.97,88.95,9.28,10,82.95
2.45,89.97,53.47,7.91,8,69.5
9.37,81.4,53.43,7.2,7,100.0
8.27,54.09,72.22,5.95,9,97.72
6.7,93.68,75.58,6.0,9,100.0
8.84,96.04,74.81,8.02,0,93.46
8.23,53.05,45.49,9.96,1,77.43
2.68,63.84,92.65,7.97,8,80.36
9.03,90.31,55.94,7.35,7,100.0
5.85,87.41,47.77,8.38,2,79.09
8.27,59.23,93.32,6.79,7,92.45
9.06,60.47,97.34,4.36,0,83.36
3.86,68.52,91.73,7.37,9,90.47
1.99,74.23,88.57,9.75,3,75.55
3.05,80.91,79.31,5.05,2,67.18
4.84,68.45,73.05,8.14,5,83.53
8.36,73.13,45.22,5.21,6,84.85
8.75,87.37,64.51,7.21,3,93.37
1.06,51.83,62.36,4.58,6,48.91
5.6,62.62,55.59,6.7,8,77.76
4.76,85.67,83.41,8.54,10,98.37
3.0,94.76,69.75,6.09,1,65.88
2.08,75.58,44.86,7.99,10,77.55
4.04,76.61,53.21,8.77,2,69.97
9.49,55.36,81.0,9.56,4,100.0
3.91,72.37,44.57,5.41,2,62.0
5.67,76.63,91.07,6.4,10,100.0
7.33,62.12,69.71,4.91,7,84.93
4.27,63.46,68.84,9.95,9,87.96
9.75,68.86,75.54,9.56,7,100.0
9.66,51.0,89.48,7.24,7,100.0
3.27,66.1,60.87,9.05,8,70.69
5.48,60.57,80.68,7.13,3,77.47
3.71,66.37,73.94,7.74,4,72.01
3.56,55.99,56.02,4.53,4,57.62
1.33,94.53,92.72,8.53,7,81.31
6.49,79.68,87.85,4.77,6,96.19
5.52,83.96,79.51,8.96,8,92.98
1.46,89.46,91.03,8.69,7,82.1
3.51,74.92,92.04,8.25,1,69.59
9.17,54.35,82.5,4.22,9,100.0
3.16,76.86,90.22,5.82,3,74.55
2.3,79.34,81.85,5.58,5,75.5
5.41,87.27,80.81,6.16,1,81.92
9.87,71.58,77.12,4.53,6,100.0
3.18,56.38,85.16,9.62,2,70.03
7.05,64.19,49.52,7.32,2,75.34
7.85,68.15,92.85,5.83,10,99.15
3.14,82.3,92.31,6.38,1,72.69
7.55,78.54,41.75,6.68,10,91.75
4.31,67.8,89.55,7.6,7,80.54
6.69,99.33,47.73,7.09,5,91.26
6.7,80.29,60.11,9.52,0,79.85
5.82,61.86,84.61,6.98,0,77.37
1.81,55.09,49.65,9.95,6,57.47
8.52,57.64,89.08,9.11,7,100.0
3.89,62.3,89.93,5.25,4,75.62
2.68,58.03,70.45,9.58,10,77.42
1.37,59.33,40.38,4.7,4,42.45
6.32,64.25,57.22,8.9,3,78.87
7.1,58.67,77.02,6.28,5,89.78
1.15,94.84,98.87,9.27,5,77.03
5.61,54.01,77.91,9.21,2,77.36
3.04,76.23,55.59,8.84,8,72.89
6.81,70.52,78.04,8.74,10,99.37
2.57,99.12,72.4,5.83,6,80.46
7.22,55.6,86.79,4.49,0,76.9
4.48,69.89,46.42,6.42,6,75.1
9.43,98.47,85.66,5.04,4,100.0
2.24,93.28,72.48,8.17,4,79.83
4.07,90.85,97.78,6.08,1,74.41
2.02,62.9,60.51,9.85,3,59.67
9.32,58.54,77.96,7.85,5,94.16
8.9,83.43,95.92,8.93,9,100.0
3.32,96.47,46.15,4.8,10,76.16
6.94,77.84,96.23,9.17,6,100.0
8.35,78.58,81.27,9.54,10,100.0
6.0,64.0,44.07,6.92,4,73.99
5.77,88.47,58.06,7.64,8,87.2
3.18,59.35,82.49,8.59,2,65.66
1.84,66.18,44.04,5.05,0,42.3
9.07,71.27,74.93,7.02,3,97.58
9.1,75.38,60.75,6.39,8,98.23
6.7,62.12,77.25,4.88,3,78.7
4.05,55.74,42.74,6.21,1,56.57
4.14,80.53,92.29,4.41,9,85.52
7.53,64.43,98.41,4.15,4,92.1
9.07,79.06,98.13,4.81,2,100.0
8.98,57.72,84.98,9.78,8,100.0
8.02,74.06,47.81,7.3,3,87.11
6.78,76.63,85.5,9.79,5,89.4
1.76,52.59,41.48,6.59,1,42.48
2.45,66.83,41.33,5.87,5,58.03
9.09,56.72,59.42,7.04,2,81.65
6.46,53.17,69.32,6.64,8,85.33
1.08,99.5,86.22,4.63,10,83.02
1.91,66.12,81.0,7.84,1,54.27
6.97,90.49,66.75,5.3,8,92.4
1.05,62.73,56.42,7.72,4,54.64
2.45,84.08,99.83,7.9,7,84.65
5.94,88.01,65.57,4.91,1,79.43
7.23,79.78,67.08,4.37,5,87.8
6.87,73.58,49.82,8.68,2,80.84
3.02,70.59,87.69,6.76,9,83.7
7.41,67.44,81.62,4.35,4,85.16
3.14,96.48,53.25,9.97,7,79.1
3.93,91.53,44.94,4.35,9,77.28
7.72,98.25,80.83,8.17,0,94.82
6.85,56.21,79.27,9.9,4,84.6
8.64,86.54,56.4,5.44,2,87.9
6.92,96.92,97.05,4.85,3,96.89
6.11,59.06,49.06,4.73,1,65.45
1.84,53.32,65.94,5.82,8,61.6
4.31,87.06,96.62,4.61,2,73.57
3.39,78.72,65.18,8.15,1,66.73
3.2,92.09,78.31,4.37,9,80.13
9.76,56.99,63.86,7.06,10,100.0
4.54,89.76,56.45,9.98,8,86.91
9.03,60.08,99.04,8.88,6,100.0
6.68,58.18,64.56,7.69,5,81.7
8.15,58.21,93.65,5.84,0,88.38
5.52,90.73,53.8,7.74,4,83.91
6.19,83.26,52.79,7.16,10,93.29
5.43,76.15,41.87,6.56,10,79.65
2.76,67.94,79.1,4.78,2,66.77
7.5,93.86,62.11,9.32,0,86.76
3.53,69.62,91.86,6.7,3,75.96
1.22,90.83,68.39,5.17,1,56.86
6.81,71.96,98.09,6.21,1,88.51
2.59,68.85,51.13,6.48,2,60.41
9.46,73.13,92.12,8.97,7,100.0
9.59,65.07,86.6,8.4,7,100.0
9.23,87.38,86.26,8.62,6,100.0
4.33,75.14,90.69,4.07,5,77.28
1.14,61.61,85.66,6.5,8,67.64
9.35,94.98,77.57,6.89,3,100.0
4.85,69.19,47.87,4.12,0,66.91
9.7,77.18,41.95,5.56,7,93.58
9.67,95.32,95.25,8.56,6,100.0
8.68,81.21,77.0,4.82,6,100.0
3.65,55.84,87.79,7.21,2,68.07
4.47,96.99,68.89,5.29,3,82.61
8.66,81.39,47.04,4.07,9,97.13
3.85,66.75,47.51,5.45,8,68.27
2.53,56.96,81.13,9.86,5,70.44
6.01,89.7,65.82,8.81,4,87.64
9.43,81.0,52.03,9.76,2,96.54
7.26,76.67,69.5,6.93,8,98.22
6.13,94.69,43.85,4.66,4,77.17
1.87,89.43,74.92,7.29,4,73.53
6.54,57.58,56.14,6.73,3,73.42
9.91,65.59,87.85,9.07,3,100.0
2.26,62.42,58.62,4.59,0,50.91
5.66,87.2,67.31,6.93,6,88.7
8.9,51.68,40.7,4.9,8,85.66
7.67,78.49,44.35,5.95,2,78.41
7.27,88.12,63.55,8.42,1,86.16
7.32,93.84,68.8,6.86,2,94.82
4.24,67.1,76.0,6.26,0,63.1
3.64,91.06,57.5,6.37,5,72.57
8.28,55.53,81.7,6.76,10,98.18
8.29,92.32,91.61,8.71,10,100.0
8.8,56.37,86.79,9.35,6,95.68
9.22,69.86,42.38,9.73,10,98.66
5.6,89.86,68.83,8.72,10,97.06
5.51,57.5,46.3,5.89,1,58.64
8.18,61.46,54.52,8.13,7,87.64
6.85,86.11,99.2,6.63,5,94.57
7.32,86.0,48.55,5.53,3,80.36
8.16,82.06,69.93,9.05,4,99.08
9.01,84.7,77.09,4.23,7,100.0
4.04,77.14,82.15,9.41,2,82.52
4.38,62.59,73.58,6.77,2,74.25
1.85,67.28,40.59,7.82,10,68.39
6.2,59.08,59.59,7.96,3,78.57
1.32,95.42,71.06,9.37,0,63.99
5.19,79.17,45.27,7.82,8,83.77
5.88,70.04,61.04,7.68,7,90.4
3.58,73.1,41.99,4.4,7,67.53
6.32,97.36,44.71,7.11,9,97.01
1.27,57.67,63.82,4.9,5,51.07
1.34,79.31,47.96,8.42,6,60.71
8.4,75.29,74.05,7.07,5,97.34
4.24,80.57,81.37,8.08,8,88.15
2.14,50.91,88.04,4.25,2,53.77
5.7,93.61,52.01,4.51,2,82.97
7.93,96.61,50.05,8.3,2,91.25
2.94,78.26,46.27,4.43,9,68.48
6.61,84.83,78.19,4.43,2,84.09
1.77,96.12,82.39,4.07,8,76.75
1.47,85.36,41.9,9.74,3,60.33
5.78,57.63,96.17,8.43,6,83.48
5.87,78.81,43.12,6.12,8,86.44
6.74,80.34,72.48,5.78,10,100.0
7.53,71.21,82.54,6.1,6,98.43
9.78,86.82,92.26,8.65,8,100.0
5.65,96.72,82.85,7.97,2,90.29
3.91,96.28,88.1,5.11,3,77.42
8.16,72.54,60.37,5.04,7,94.71
3.44,55.66,88.89,4.59,5,69.65
4.95,99.24,44.81,7.96,4,78.63
1.71,91.94,93.69,8.59,3,76.98
1.23,56.23,72.86,5.59,7,62.63
9.66,96.04,89.04,4.13,0,99.69
8.52,93.49,67.14,4.49,8,100.0
7.26,75.94,78.61,9.81,0,83.8
4.68,79.56,71.58,5.77,7,86.08
2.56,69.95,83.9,8.62,3,66.52
2.41,52.74,44.9,7.75,8,59.46
3.25,66.76,43.62,6.29,10,71.3
5.94,90.14,54.83,5.23,4,84.32
7.43,50.23,49.57,4.73,2,73.52
6.94,66.67,92.31,7.69,8,97.93
3.52,69.91,53.15,8.65,10,80.79
9.59,76.87,98.55,7.86,8,100.0
7.64,95.99,60.21,7.18,3,90.1
5.99,67.32,50.93,4.25,10,80.88
6.51,67.35,87.38,9.81,3,92.25
4.78,86.88,79.52,8.79,7,92.55
3.23,72.61,69.89,5.76,1,63.05
4.2,61.23,73.32,9.88,8,82.72
7.82,72.62,83.15,7.61,5,100.0
1.13,57.04,53.71,7.49,8,58.51
2.04,58.82,99.78,8.49,7,70.64
1.41,74.92,98.49,8.87,6,78.17
1.37,70.95,79.02,7.94,0,57.26
8.7,95.74,51.97,4.77,2,93.05
7.33,68.12,80.81,6.03,10,98.74
5.27,79.03,44.33,9.57,1,69.26
1.88,81.61,41.84,5.35,4,58.23
5.42,50.65,55.46,6.23,4,68.18
5.26,83.18,67.76,6.59,4,81.23
2.56,58.9,92.1,6.64,3,70.42
4.9,98.05,83.63,7.68,4,85.51
4.59,57.43,84.56,9.66,2,75.06
6.54,70.73,65.53,5.44,0,71.12
6.72,54.27,60.76,4.73,4,66.79
1.41,99.84,62.26,5.18,8,72.33
4.37,75.11,99.26,9.32,8,92.7
6.63,79.77,42.41,7.87,3,81.1
5.53,53.35,92.02,5.72,2,73.69
8.71,87.5,74.72,8.9,0,90.33
6.93,60.5,66.32,9.17,1,76.24
2.47,94.9,83.52,9.08,7,87.89
1.64,60.26,69.2,9.51,0,51.64
6.78,59.53,92.41,5.51,7,95.45
1.24,51.83,94.04,8.53,6,68.82
6.27,73.6,65.3,6.76,7,86.39
9.46,78.24,56.61,9.05,5,97.88
6.18,53.29,75.54,8.37,8,90.27
4.49,88.78,94.74,8.66,2,83.81
6.79,72.66,52.64,7.94,9,86.6
5.12,76.22,77.38,5.06,3,78.43
5.91,72.04,77.89,7.27,5,86.66
9.47,70.04,83.99,9.91,7,100.0
4.47,77.98,47.89,9.62,4,75.3
9.65,57.76,82.95,4.26,2,88.56
9.15,59.1,94.54,4.99,5,100.0
2.76,93.09,50.78,4.79,3,68.3
1.62,97.31,54.25,8.36,8,75.19
1.91,68.67,98.28,8.91,2,68.22
1.16,63.54,50.86,5.28,3,44.78
1.85,82.2,91.26,7.04,6,73.22
7.15,70.44,69.54,9.04,6,94.61
1.64,51.27,54.83,8.4,3,50.28
3.87,57.81,92.24,7.25,5,71.16
8.6,85.8,66.72,7.54,2,100.0
1.21,82.95,70.89,7.05,5,61.12
8.33,51.35,61.55,5.79,1,83.79
3.54,61.1,75.58,7.39,7,73.68
2.06,61.55,49.81,8.13,1,51.51
7.27,83.59,63.46,9.24,10,100.0
6.66,50.99,98.16,7.82,6,92.34
8.9,55.21,55.49,8.57,8,90.83
7.62,90.0,79.4,4.96,0,81.55
8.23,58.93,59.51,6.77,7,95.15
3.54,82.64,86.41,4.06,6,75.57
2.6,61.91,47.85,5.48,5,60.04
7.76,54.97,98.19,8.36,5,91.71
8.26,62.16,67.23,9.95,5,95.7
9.91,86.11,54.16,4.6,8,100.0
4.71,92.78,44.41,6.41,1,68.06
4.35,91.51,50.19,8.8,0,64.33
7.99,69.86,71.19,5.22,5,95.03
4.07,83.4,60.22,7.33,9,86.15
9.38,60.25,89.73,8.4,10,100.0
8.73,64.66,65.85,7.7,7,96.31
4.86,94.82,54.92,5.13,2,70.47
7.76,50.65,77.03,6.13,9,97.18
7.79,54.28,82.41,8.7,0,80.78
1.93,60.39,50.02,7.33,8,58.23
9.12,51.33,50.06,4.03,0,74.44
5.55,59.07,42.2,8.57,2,64.53
8.44,79.15,84.18,4.21,7,97.33
3.88,71.07,79.83,8.47,2,71.22
9.06,94.63,68.48,5.21,3,98.2
4.5,90.87,90.65,9.75,7,90.34
1.1,67.09,88.34,6.21,0,58.76
9.15,62.97,75.12,5.96,5,97.03
1.82,68.98,92.1,4.89,0,56.69
3.87,79.51,52.35,5.83,0,58.66
9.55,63.4,46.72,9.26,7,97.12
9.56,81.21,56.18,9.98,10,100.0
6.16,70.47,43.43,6.21,3,74.81
6.69,77.6,71.87,6.69,0,82.54
5.04,71.81,96.2,8.33,9,93.01
3.64,64.72,42.36,9.32,6,59.59
3.96,97.42,47.33,7.56,4,78.88
7.05,88.18,67.13,6.35,4,89.29
7.77,57.01,96.03,6.48,0,85.85
8.12,93.42,58.97,8.17,9,100.0
8.11,74.37,70.43,4.02,10,100.0
1.82,94.73,42.49,7.72,5,63.55
5.45,89.99,48.9,6.13,8,85.91
1.52,71.26,99.2,8.77,8,82.03
5.95,51.12,97.91,4.56,7,82.11
4.97,63.43,40.3,7.53,4,65.97
8.99,77.08,97.11,6.89,0,94.35
4.16,81.67,78.35,7.85,8,86.54
2.05,62.89,92.08,4.39,0,55.73
2.29,56.97,67.28,7.48,7,64.0
7.85,91.75,70.94,7.37,4,93.74
6.56,99.22,69.33,7.36,2,91.51
1.91,76.28,80.01,7.62,10,82.64
1.76,58.58,48.38,8.06,6,62.49
7.31,63.62,41.8,8.83,6,82.38
1.65,50.92,58.48,5.62,8,61.05
8.4,95.71,82.28,8.95,6,100.0
7.36,55.89,52.11,6.99,10,87.57
1.73,78.83,80.41,4.46,2,62.7
1.76,63.7,98.19,4.35,10,72.97
9.88,77.71,45.63,6.01,0,85.26
4.37,82.57,80.36,8.71,7,83.44
4.34,91.49,66.63,8.25,2,75.72
8.32,60.32,92.09,8.73,7,100.0
9.53,50.55,50.63,7.1,7,96.52
9.87,56.84,81.56,6.64,4,95.98
7.78,95.0,90.29,4.88,0,88.83
4.39,93.69,96.68,5.97,9,99.87
1.75,79.87,80.99,6.6,6,69.3
7.99,80.03,69.83,4.53,9,93.83
6.03,83.25,77.07,5.32,4,85.35
4.82,58.77,92.13,7.59,7,83.08
9.16,95.72,74.24,8.41,8,100.0
2.0,70.94,41.82,9.99,10,72.16
5.43,69.16,95.86,9.6,6,91.04
1.1,75.95,81.37,7.86,6,65.54
5.22,52.35,80.59,6.53,0,68.16
1.51,58.31,52.94,7.82,3,56.66
2.07,86.9,79.53,8.71,1,68.46
2.06,54.14,63.63,4.71,1,46.32
6.84,80.16,79.07,6.46,1,85.78
7.71,62.27,46.4,9.04,3,81.09
6.25,69.46,79.47,6.3,0,77.74
9.66,64.43,99.96,7.43,3,100.0
4.37,67.78,42.89,7.53,1,60.44
3.57,85.95,98.63,5.11,4,78.59
8.82,64.86,64.41,6.17,2,89.07
3.01,78.32,92.25,6.01,7,78.82
9.67,73.8,86.94,4.16,3,96.4
1.11,83.18,74.02,4.15,0,50.6
9.73,96.84,84.31,8.99,0,100.0
1.39,86.63,92.71,5.64,9,79.32
9.02,60.75,64.25,7.11,2,85.66
5.75,51.56,59.62,5.79,8,75.47
9.94,63.11,80.06,9.64,6,100.0
1.66,79.75,88.47,5.56,1,56.36
5.98,52.57,85.74,6.58,8,87.91
9.72,74.82,87.87,9.24,9,100.0
5.71,79.84,66.13,9.05,1,68.67
6.66,66.71,89.07,5.12,2,84.39
7.26,88.55,47.21,8.82,10,98.96
5.09,55.33,72.67,6.75,9,82.74
6.65,53.76,40.35,6.9,1,65.24
6.26,86.41,59.48,4.8,2,81.54
9.11,74.77,61.99,4.48,5,94.4
1.41,84.42,63.77,8.37,8,72.45
3.53,71.74,81.73,6.98,8,77.91
9.55,62.32,63.31,6.62,6,100.0
9.01,90.96,66.92,8.38,2,98.25
5.1,89.97,54.25,8.59,3,86.09
6.58,84.73,62.4,4.95,5,91.36
3.5,63.61,53.64,7.66,10,70.08
2.69,79.51,44.39,4.81,4,58.08
5.17,68.05,76.21,8.51,1,71.65
4.18,54.58,80.09,7.94,5,73.59
6.25,95.87,77.17,9.74,2,92.04
1.7,56.84,67.81,4.41,7,60.24
9.77,97.51,62.79,4.34,1,99.09
9.88,72.3,91.8,5.69,0,100.0
